Feature	Intercept_mean	C(disease, Treatment('Control'))[T.MS]_mean	age_mean	bmi_mean	Intercept_std	C(disease, Treatment('Control'))[T.MS]_std	age_std	bmi_std
G001769115	-14.517460349999999	0.3689423001384993	-0.015959240377805013	-0.07971863625499986	0.9203178535662973	0.19784117812873084	0.01382246665357086	0.02607525643024774
G000178455	-9.955031370000006	0.776307586899999	-0.06635684908499982	-0.04304452314260001	1.189335339674906	0.37704057045433265	0.01812083254496941	0.03925684254003573
G002014855	-13.027890335000004	0.042572490319249916	-0.02107459317208499	-0.07056017812329994	1.0646704599981343	0.3080383554289783	0.015847007137475413	0.033281873102150694
G000423385	-10.453056655000017	0.5107655532894998	-0.07593027926424993	0.04999094623059994	1.734569570281533	0.8802430495771627	0.03550891383134045	0.05853047427821519
G001513255	-13.277681600000003	-0.28698753221000034	-0.013652848908449977	-0.0075369443605999885	0.6872948075545456	0.11990828601004781	0.010331216346197016	0.017519870618614333
G000711295	-13.849834774999993	0.5871452539304999	-0.03097771029579505	-0.12202156578249977	1.3982343463496913	0.530238592354824	0.022458821944288658	0.05204508013177542
G000265365	-5.113845729999991	0.2150010872324999	0.0060667510075599965	-0.02148233382204999	0.5790795547985332	0.09956701298710019	0.00974930720447786	0.014289224738212558
G000508165	-11.527083420000018	-0.5450453034274995	-0.050303469854499974	-0.2310862087650002	1.8816117948077662	1.1487531090118832	0.04369748154465052	0.09269582284793239
G001311255	-11.97057571500002	-1.5546868685500015	-0.13278007022999996	-0.11853366130765002	1.7998213602033928	1.0889764242612345	0.04861709947750835	0.08605350450540333
G900129735	-11.003824480000006	0.015957595954000002	0.002469082125209998	-0.016281644073211025	0.4832299384842892	0.0705197500824708	0.007928142791410867	0.010004104509390677
G000331995	-14.318851049999992	-0.16973704272550033	-0.005905089498775008	-0.00863639374512101	0.5143010758679172	0.08128487534304983	0.008633395862795774	0.011794375190766322
G001050135	-10.603825144999993	-1.6007891076629999	0.01994606511541502	-0.5161707202499987	1.8865390914844786	1.5189782747810623	0.06118561242790981	0.14540844022157853
G000433175	-11.733341870000014	-0.1342889256354998	-0.012908177354300008	-0.016777944393650004	0.9184878026329492	0.21778887967246965	0.013574785141038189	0.027637731108285477
G001274875	-13.053071139999998	-0.7407873938155007	-0.058181099537699954	-0.14165517264450025	1.7188854418386654	0.6470498024734681	0.02725527739311375	0.0590529606144881
G000195315	-13.695443449999996	-0.19273772693849966	-0.00925369806529999	0.03299910137465003	0.6052043992793653	0.11240920050054842	0.009637827066062333	0.015084110214682494
G000526675	-11.636336234999993	-1.1992726264149984	-0.03657043315936003	-0.18956774724050024	1.7402730499095462	0.7540602047054424	0.03214791802770258	0.07399958202289267
G000826525	-11.8692335	-0.23655971122849986	-0.018875392399900007	-0.3324400872000001	1.7861480260917453	0.9826103132885012	0.04118192349539481	0.09458155922672969
G001689415	-11.167560635000005	0.03337420474299999	-0.01603463384903501	-0.0944187056679998	1.3049967479337448	0.461590104643069	0.019298899156626918	0.04204696562199758
G000160775	-11.971623535000019	0.6815898043919983	-0.09091661361207982	-0.24242068549850015	1.7988871730193523	1.2352944971886302	0.052394776732218706	0.10566052609050583
G000754265	-13.388126805000008	-2.592851010710003	-0.0327644611727	-0.24687884599000018	1.8780124080026315	1.3001939528093907	0.04521276312778056	0.0936325477134418
G000410635	-14.990123945000006	0.10899484728450017	-0.037871552366000066	-0.055953176877700087	1.4836392495157584	0.5421751368726082	0.02289311634964275	0.044831130788159444
G000372845	-11.384677435000008	-2.901395821600003	-0.005002759518400004	-0.3423242157499997	1.7882263571126469	0.9039036936220973	0.03646696914047571	0.08239198011141892
G000026065	-13.465392350000005	-0.004720558989000009	-0.019379029660300015	-0.008668264012769994	0.9748968291857739	0.24389226930516772	0.014533582508605473	0.029378377428617986
G900104675	-6.92746941999999	0.06428036092389997	0.0007529835290199992	-0.005416372977249993	0.42882949414943966	0.06000728110161937	0.006973328787551867	0.008849241058910728
G000772965	-12.089442899999982	-0.5265645918492006	-0.03666004056915002	-0.2248873561549999	1.7970804744645952	0.9150024268515171	0.040540699439892476	0.08793513820977662
G000296835	-11.05751514999999	0.40762027647950055	-0.06628110360499997	-0.05671689277849997	1.2244488511003135	0.43320249747216927	0.019449279265896416	0.03699892095812555
G000019525	-13.97582836999999	-1.0878471976209991	-0.010776282304735	-0.2229787520150001	1.8405934706563924	0.9046937278508037	0.03635716549620051	0.08077257494932714
G001422145	-11.95901129999999	-1.088686735420001	-0.041340334232149875	-0.27727641115499974	1.838008748878391	1.127078194242194	0.04040416193121076	0.09422861579404151
G900112775	-15.909293349999995	-0.23460096555010013	-0.001703294417804997	-0.008238315240199995	0.9857712398882302	0.248823397077831	0.014831249855502287	0.029414208286924464
G000381625	-11.195356265000015	2.571983625210498	-0.07389146268280002	-0.40604330092499874	1.9554731890890507	1.8247949825527405	0.06511450314356654	0.13508383641360625
G000961955	-11.065990949999986	1.2157987599199986	-0.11051645332769998	-0.28388430931500047	1.8314263660796994	1.3126194342533608	0.058716843978555054	0.11271304791724421
G000615845	-15.262067149999993	-0.9335453876350012	-0.029738184572050037	-0.025655363455949976	1.1260156828818493	0.3334221288122701	0.017357467948048638	0.03371470721603278
G001007605	-12.773555620000016	-0.6635561004049991	-0.02320222775246001	-0.0038390195259500053	0.9953427267489406	0.2498960473952366	0.014637520232591641	0.02902622692863811
G001457415	-14.465757200000025	-0.09144430443142018	-0.007552737647750002	-0.01776547090690005	0.6482444616255191	0.11500874235590684	0.010231783601328398	0.01635588123795202
G000220525	-14.400016335000021	0.2702269140964996	-0.02681898794925004	-0.17927242090000003	1.5261964923654232	0.5325629484980982	0.02344473669312405	0.050489200242318656
G000012425	-15.568706099999995	-0.022021760053999997	-0.041140997508499956	-0.028615481846215013	1.0491017564434775	0.2560009594689197	0.01607640604433006	0.029535390802217964
G000436795	-8.766838990000004	-0.10040550379849986	-0.007574648696899992	0.020101790007700043	0.666230333566763	0.1107649090416311	0.010088134536033022	0.016075672084136003
G000469305	-8.045800239999986	-0.17580997574450039	-0.0017316287551119999	0.010084128827209988	0.5262235358066402	0.08152529811360183	0.008792085385226927	0.011683316004093688
G000687655	-12.188341749999987	-0.2591079058500004	-0.005011962576180008	0.006103985346464987	0.4602886792893536	0.06583691445379321	0.007295171171328211	0.009943793852380901
G000711735	-10.291628629999993	-1.6854570340149944	-0.12618302785449984	-0.2647809585999995	1.7867033078544194	1.459134968735496	0.06564639745009898	0.11514422957192041
G000312005	-10.634778949999998	-0.06262744250499994	0.019964928492999988	-0.5318959183999997	1.893579947681717	1.4993634126198325	0.06181061866010748	0.14042605842420636
G001584185	-14.696468550000032	-0.07534933318000003	-0.025565727042749942	-0.09369504269999993	1.0738509780113321	0.2602515848787703	0.016047297498253166	0.03383759328400767
G001769275	-14.252745949999973	0.22897390732149972	-0.009087043937035013	-0.06049537704999998	0.8010106033465448	0.15037974668571075	0.012089952235236455	0.020885239913785412
G000428865	-11.80176842500002	0.2306616276999999	-0.0637136569500001	0.0004702658805400007	1.068437115600431	0.307767715650387	0.01640818287103272	0.0340223311319845
G000178475	-11.144614470000002	0.4950716298775004	-0.07359269404999967	-0.047852782031299945	1.2113989312961764	0.424843927127147	0.018885083929125666	0.03722007742845566
G002015085	-15.894468999999981	-0.9367915289899994	-0.024241710762204997	-0.03515845608631502	1.2801902550437578	0.3745368288691929	0.018806008564115708	0.04110518885713111
G000423445	-14.563194885	-0.3445578446629999	-0.04548420976945002	-0.007532624382600018	1.315630598361595	0.4355626994002118	0.020860358871571314	0.039103849528511724
G000508185	-11.460684374999989	0.37730964813499973	-0.09653328131649996	-0.17003264151150002	1.6948609101899792	0.8802067269185231	0.03929639885745637	0.07659451718170825
G000332115	-10.065899599999975	-1.0303881617200017	-0.036789791565555015	-0.4299364703499995	1.9437336830050147	1.2937794117577142	0.05270038462816061	0.11418360480594676
G000265385	-13.22600860000001	0.1734886138754999	-0.013244837080848013	-0.26127556795999973	1.7116202518851065	0.6977398712713132	0.030380295300350437	0.07436701529568625
G900129785	-11.619135454999999	-1.2575358675050012	-0.00817861137859999	-0.35241239829999993	1.7911276471862043	1.1106582087338257	0.04139000788050231	0.09406907809330046
G001050305	-11.56576459	-2.021805319295003	-0.1460246121544996	-0.14727699578525014	1.799592358578055	1.2579509030144134	0.05983666426851383	0.10329133883877437
G001513285	-13.916397484999969	-0.10667290412449972	-0.04394741930190004	-0.10616345220510004	1.3995939068882173	0.46751628020286323	0.022260465830897053	0.046535590402527006
